entry	class	subclass	SoundOverrideSubclass	name	displayid	Quality	Flags	FlagsExtra	BuyCount	BuyPrice	SellPrice	InventoryType	AllowableClass	AllowableRace	ItemLevel	RequiredLevel	RequiredSkill	RequiredSkillRank	requiredspell	requiredhonorrank	RequiredCityRank	RequiredReputationFaction	RequiredReputationRank	maxcount	stackable	ContainerSlots	StatsCount	stat_type1	stat_value1	stat_type2	stat_value2	stat_type3	stat_value3	stat_type4	stat_value4	stat_type5	stat_value5	stat_type6	stat_value6	stat_type7	stat_value7	stat_type8	stat_value8	stat_type9	stat_value9	stat_type10	stat_value10	ScalingStatDistribution	ScalingStatValue	dmg_min1	dmg_max1	dmg_type1	dmg_min2	dmg_max2	dmg_type2	armor	holy_res	fire_res	nature_res	frost_res	shadow_res	arcane_res	delay	ammo_type	RangedModRange	spellid_1	spelltrigger_1	spellcharges_1	spellppmRate_1	spellcooldown_1	spellcategory_1	spellcategorycooldown_1	spellid_2	spelltrigger_2	spellcharges_2	spellppmRate_2	spellcooldown_2	spellcategory_2	spellcategorycooldown_2	spellid_3	spelltrigger_3	spellcharges_3	spellppmRate_3	spellcooldown_3	spellcategory_3	spellcategorycooldown_3	spellid_4	spelltrigger_4	spellcharges_4	spellppmRate_4	spellcooldown_4	spellcategory_4	spellcategorycooldown_4	spellid_5	spelltrigger_5	spellcharges_5	spellppmRate_5	spellcooldown_5	spellcategory_5	spellcategorycooldown_5	bonding	description	PageText	LanguageID	PageMaterial	startquest	lockid	Material	sheath	RandomProperty	RandomSuffix	block	itemset	MaxDurability	area	Map	BagFamily	TotemCategory	socketColor_1	socketContent_1	socketColor_2	socketContent_2	socketColor_3	socketContent_3	socketBonus	GemProperties	RequiredDisenchantSkill	ArmorDamageModifier	duration	ItemLimitCategory	HolidayId	ScriptName	DisenchantID	FoodType	minMoneyLoot	maxMoneyLoot	flagsCustom	WDBVerified
6473	4	2	-1	Armor of the Fang	17091	3	0	0	1	6064	1212	5	-1	-1	23	18	0	0	0	0	0	0	0	0	1	0	2	4	8	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	8	0	0	0	0	162	90	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0		41	0	0	0	0	12340
6833	4	0	-1	White Tuxedo Shirt	13115	1	0	0	1	0	0	4	-1	-1	25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0		0	0	0	0	0	7	0	0	0	0	812	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0		0	0	0	0	0	12340
6835	4	1	-1	Black Tuxedo Pants	13117	1	0	0	1	0	0	7	-1	-1	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0		0	0	0	0	0	7	0	0	0	0	812	45	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0		0	0	0	0	0	12340
10328	4	3	-1	Scarlet Chestpiece	19049	3	0	0	1	34964	6992	5	-1	-1	39	34	0	0	0	0	0	0	0	0	1	0	2	7	19	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	5	0	0	0	0	163	120	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0		44	0	0	0	0	12340
10329	4	3	-1	Scarlet Belt	27951	2	0	0	1	12538	2507	6	-1	-1	37	32	0	0	0	0	0	0	0	0	1	0	2	4	8	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	5	0	0	0	0	163	35	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0		6	0	0	0	0	12340
10330	4	3	-1	Scarlet Leggings	3519	3	0	0	1	47939	9587	7	-1	-1	43	38	0	0	0	0	0	0	0	0	1	0	2	4	20	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	163	90	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0		45	0	0	0	0	12340
10331	4	3	-1	Scarlet Gauntlets	15816	2	0	0	1	13645	2729	10	-1	-1	38	33	0	0	0	0	0	0	0	0	1	0	2	4	8	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	5	0	0	0	0	163	35	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0		6	0	0	0	0	12340
10332	4	3	-1	Scarlet Boots	28383	3	0	0	1	18951	3790	8	-1	-1	35	30	0	0	0	0	0	0	0	0	1	0	2	7	12	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	5	0	0	0	0	163	60	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0		43	0	0	0	0	12340
10333	4	3	-1	Scarlet Wristguards	28382	2	0	0	1	11574	2314	9	-1	-1	36	31	0	0	0	0	0	0	0	0	1	0	1	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	5	0	0	0	0	163	35	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0		6	0	0	0	0	12340
10399	4	2	-1	Blackened Defias Armor	9123	3	0	0	1	7336	1467	5	-1	-1	24	19	0	0	0	0	0	0	0	0	1	0	3	7	11	3	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	8	0	0	0	0	161	90	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0		41	0	0	0	0	12340
